,song,artist
0,Super Freaky Girl,Nicki Minaj
1,As It Was,Harry Styles
2,About Damn Time,Lizzo
3,Break My Soul,Beyonce
4,Running Up That Hill (A Deal With God),Kate Bush
5,Bad Habit,Steve Lacy
6,Sunroof,Nicky Youre & dazy
7,Wait For U,Future Featuring Drake & Tems
8,Me Porto Bonito,Bad Bunny & Chencho Corleone
9,I Like You (A Happier Song),Post Malone Featuring Doja Cat
10,Late Night Talking,Harry Styles
11,First Class,Jack Harlow
12,Heat Waves,Glass Animals
13,The Kind Of Love We Make,Luke Combs
14,You Proof,Morgan Wallen
15,Titi Me Pregunto,Bad Bunny
16,I Ain't Worried,OneRepublic
17,She Had Me At Heads Carolina,Cole Swindell
18,Wasted On You,Morgan Wallen
19,Stay,The Kid LAROI & Justin Bieber
20,Alone,Rod Wave
21,Jimmy Cooks,Drake Featuring 21 Savage
22,Staying Alive,DJ Khaled Featuring Drake & Lil Baby
23,Big Energy,Latto
24,Vegas,Doja Cat
25,Moscow Mule,Bad Bunny
26,Glimpse Of Us,Joji
27,Ghost,Justin Bieber
28,Like I Love Country Music,Kane Brown
29,Shivers,Ed Sheeran
30,Fall In Love,Bailey Zimmerman
31,5 Foot 9,Tyler Hubbard
32,Numb Little Bug,Em Beihold
33,In A Minute,Lil Baby
34,Yungen,Rod Wave Featuring Jack Harlow
35,Last Night Lonely,Jon Pardi
36,Cold Heart (PNAU Remix),Elton John & Dua Lipa
37,Efecto,Bad Bunny
38,Rock And A Hard Place,Bailey Zimmerman
39,Left And Right,Charlie Puth Featuring Jung Kook
40,Sticky,Drake
41,Something In The Orange,Zach Bryan
42,Provenza,Karol G
43,Get Into It (Yuh),Doja Cat
44,Betty (Get Money),Yung Gravy
45,Son Of A Sinner,Jelly Roll
46,Numb,Marshmello & Khalid
47,Never Get Over Me,Rod Wave
48,Sweetest Pie,Megan Thee Stallion & Dua Lipa
49,Super Gremlin,Kodak Black
50,Sweet Little Lies,Rod Wave
51,Take My Name,Parmalee
52,F.N.F. (Let's Go),Hitkidd & GloRilla
53,Hot Shit,"Cardi B, Ye & Lil Durk"
54,Party,Bad Bunny & Rauw Alejandro
55,Damn Strait,Scotty McCreery
56,Bad Decisions,"benny blanco, BTS & Snoop Dogg"
57,Forever,Rod Wave
58,Ojitos Lindos,Bad Bunny & Bomba Estereo
59,Bones,Imagine Dragons
60,So Good,Halsey
61,Her,Megan Thee Stallion
62,Sleazy Flow,SleazyWorld Go Featuring Lil Baby
63,Victoriaâ€™s Secret,Jax
64,Despues de La Playa,Bad Bunny
65,Stone Rolling,Rod Wave
66,Alien Superstar,Beyonce
67,Unstoppable,Sia
68,Free Mind,Tems
69,Wishful Drinking,Ingrid Andress With Sam Hunt
70,No Deal,Rod Wave
71,Dah Dah DahDah,Nardo Wick
72,Whiskey On You,Nate Smith
73,I Know It,Rod Wave
74,Last Last,Burna Boy
75,Tarot,Bad Bunny & Jhay Cortez
76,With A Woman You Love,Justin Moore
77,At The End Of A Bar,Chris Young With Mitchell Tenpenny
78,Truth About You,Mitchell Tenpenny
79,Pressurelicious,Megan Thee Stallion Featuring Future
80,Cuff It,Beyonce
81,Ungrateful,Megan Thee Stallion Featuring Key Glock
82,Pick Me Up,Gabby Barrett
83,She Likes It,Russell Dickerson & Jake Scott
84,Despecha,Rosalia
85,Pieces,Rod Wave
86,Budget,Megan Thee Stallion Featuring Latto
87,Ghost Story,Carrie Underwood
88,Cooped Up,Post Malone Featuring Roddy Ricch
89,Rockstar Heart,Rod Wave
90,Puffin On Zootiez,Future
91,Until I Found You,Stephen Sanchez
92,Plan B,Megan Thee Stallion
93,Thought You Should Know,Morgan Wallen
94,Time Kills (Love Birds),Rod Wave
95,Fading,Rod Wave
96,Church Girl,Beyonce
97,Un Ratito,Bad Bunny
98,La Corriente,Bad Bunny & Tony Dize
99,What My World Spins Around,Jordan Davis
